,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53
120,15.83082771,15.86849022,15.3927002,15.32621193,15.99868965,15.61451149,15.86378479,15.73788548,16.17851639,15.49155331,15.81973171,14.99481964,15.7342453,15.93570042,15.88120461,15.46740532,15.3573513,15.28327179,15.48730087,15.06611061,15.34935284,15.31101418,16.06993866,15.24901772,15.23284245,15.97363472,15.76446247,15.34317493,15.66949177,16.29964828,15.99375057,15.40280724,16.25269127,16.86237526,16.29219055,16.09827042,16.62791443,16.70994568,16.35881615,16.39401245,16.24741554,16.9564724,16.9246788,16.19192123,16.55238342,16.16796875,16.10158348,15.98948097,17.16587448,16.49149513,17.22304726,17.09414864,16.84637451
121,15.87460041,15.91741753,15.44431305,15.37121868,16.04956627,15.65422249,15.911479,15.78318214,16.22274399,15.53822994,15.86384106,15.0304718,15.77634716,15.973876,15.92357159,15.50630093,15.39180565,15.32110214,15.52860832,15.11042786,15.39719963,15.34614944,16.10982704,15.29272938,15.28244972,16.01370049,15.81148052,15.37801266,15.71775532,16.35156631,16.05151558,15.45951271,16.30379486,16.91850281,16.35040283,16.16232491,16.69392014,16.7735672,16.40311432,16.43063354,16.28408813,17.02309608,16.99545288,16.24495316,16.59543037,16.21109772,16.13586044,16.02648926,17.20896149,16.55654335,17.2885685,17.15204048,16.90438461
122,15.91855907,15.96687508,15.49594975,15.41618156,16.10149384,15.69380856,15.95931816,15.82886696,16.26721573,15.58512974,15.90812111,15.06569862,15.81865597,16.01247215,15.96681213,15.54571819,15.42668819,15.35945034,15.56992817,15.15503883,15.44556522,15.38121891,16.15042496,15.3370285,15.33285522,16.05407524,15.8586359,15.41296768,15.76759624,16.40527534,16.11114693,15.51781654,16.35678482,16.9767952,16.41044998,16.22874641,16.76236343,16.83938789,16.44804382,16.46855545,16.32157898,17.09168625,17.06877708,16.29838371,16.63821411,16.25609016,16.17208481,16.0652504,17.25502205,16.62650108,17.35877609,17.21354294,16.96567154
123,15.96201706,16.01600266,15.54685497,15.46046066,16.15343857,15.73272896,16.00656891,15.87417221,16.31122208,15.63151264,15.95188332,15.10010529,15.8605032,16.05081749,16.01006126,15.58494377,15.46137714,15.39762115,15.61065865,15.1992178,15.49360752,15.41573429,16.19094658,15.38111496,15.383111,16.09409142,15.90520954,15.44750309,15.81786537,16.4595089,16.17127228,15.5764389,16.41038132,17.03582001,16.47096634,16.29592705,16.83159065,16.90585327,16.4927845,16.50687599,16.35912323,17.1607132,17.14289665,16.3513298,16.68018341,16.30178833,16.20920563,16.10472488,17.30257988,16.69902229,17.43138123,17.2767849,17.02845573
124,16.00396729,16.0635891,15.59589767,15.50308704,16.20400429,15.77015305,16.05215454,15.91800594,16.35373306,15.6762991,15.9941206,15.13302803,15.90091324,16.0879631,16.05216217,15.62299061,15.49500561,15.43464851,15.64989567,15.24191856,15.54014301,15.44894409,16.23033714,15.42387486,15.43192101,16.13278961,15.95013714,15.48082733,15.8670845,16.51265335,16.23012924,15.63371372,16.4629612,17.09377289,16.5301857,16.36183548,16.89950943,16.97098541,16.53619957,16.54444504,16.39570045,17.2281971,17.21557999,16.40253067,16.72047424,16.34675026,16.24595261,16.1436348,17.34989738,16.77136803,17.50369453,17.33953285,17.09059334
125,16.04327202,16.108284,15.64178085,15.54294586,16.25166321,15.80511665,16.09484482,15.95914173,16.39357948,15.7182703,16.03368759,15.16367912,15.9387846,16.12285423,16.09184265,15.65875816,15.52660847,15.46946335,15.68660355,15.28196239,15.58385086,15.4799881,16.26742554,15.46407509,15.47785187,16.16909599,15.99221134,15.51203918,15.91366386,16.56297874,16.28582573,15.68783665,16.51279068,17.1487236,16.58621025,16.42429733,16.96387482,17.03266525,16.57702637,16.58003426,16.43019676,17.29199409,17.2844429,16.45055962,16.7580719,16.38944626,16.2809906,16.18063164,17.39517593,16.84072113,17.57294083,17.39946175,17.14983749
126,16.07885933,16.14882088,15.68328094,15.57898235,16.29499626,15.83670902,16.13348579,15.99642754,16.42967033,15.75627613,16.0695076,15.19130421,15.97307968,16.15450096,16.12792206,15.69122028,15.5552845,15.50106144,15.71980286,15.31824112,15.62349224,15.50804806,16.30112267,15.50055981,15.51956558,16.20199776,16.03029251,15.54029274,15.95613766,16.60888481,16.33660507,15.73713589,16.55827141,17.19889641,16.63727951,16.48130798,17.02262115,17.08892822,16.61408806,16.61250496,16.46157265,17.35012436,17.3472805,16.4940834,16.79201508,16.42847061,16.31311035,16.21447754,17.43677902,16.90452576,17.63659859,17.45445633,17.2041378
127,15.32879353,15.3407774,14.78046608,14.78567886,15.5020256,15.12857437,15.31085014,15.23866177,15.67715168,14.95879269,15.31202698,14.52607918,15.25431347,15.52474403,15.46726799,15.05833626,14.99144077,14.88654709,14.99668598,14.56883049,14.83328629,14.88587379,15.66827011,14.78941154,14.72481155,15.52856636,15.21883774,14.94058418,15.25842857,15.86696815,15.49930382,14.89325428,15.839818,16.41867256,15.78949738,15.58084869,16.09484482,16.18013,15.89700127,16.09284973,15.89569759,16.3669548,16.34628868,15.60179424,16.01229858,15.84771633,15.89577198,15.7304678,16.96117973,16.22635078,16.92911148,16.77933311,16.49536514
128,15.32620525,15.33815289,14.7772522,14.78282261,15.49971581,15.12598133,15.30798244,15.23614693,15.67458439,14.95605373,15.30940533,14.52349091,15.25184822,15.52270412,15.46534157,15.0563345,14.98963928,14.88460922,14.99410915,14.56629944,14.83071995,14.88361835,15.66636086,14.78716278,14.72236824,15.52631378,15.21600723,14.93849945,15.25672054,15.86520672,15.49723911,14.89103317,15.83818913,16.41696167,15.78738117,15.57880783,16.09274292,16.1779747,15.89475441,16.09164047,15.89408302,16.36441803,16.34397888,15.59880543,16.00938034,15.84656811,15.89525032,15.72960949,16.96095848,16.22636986,16.92891502,16.77871513,16.49446106
129,15.34600258,15.35818768,14.80186367,14.80470085,15.51729012,15.14584923,15.32992363,15.25536346,15.69421864,14.9770031,15.32946682,14.54335976,15.27070522,15.53828621,15.47999763,15.07160759,15.00339127,14.89939308,15.01384544,14.58565331,14.85031319,14.90089607,15.68090725,14.80432034,14.74099064,15.54352951,15.23766994,14.95444584,15.26963043,15.87849998,15.51284504,14.90786648,15.85045815,16.42982674,15.80338478,15.59418106,16.10857773,16.19423866,15.9118948,16.10076523,15.90635777,16.38362312,16.36138535,15.62165642,16.03175163,15.85515881,15.89902973,15.73599243,16.96232796,16.22569084,16.92991257,16.78304672,16.50102425
130,15.38807011,15.40079212,14.85414505,14.85117149,15.55471134,15.18804073,15.37654305,15.29621506,15.7359457,15.02152061,15.37209702,14.58552933,15.31077862,15.57142353,15.51120567,15.10409641,15.03263855,14.93084145,15.05577087,14.62679195,14.89197636,14.93759251,15.71186733,14.8408165,14.78061771,15.58012581,15.28369808,14.98832703,15.29719162,15.90689087,15.54615688,14.94375992,15.87668514,16.45734215,15.83753872,15.62704277,16.14242554,16.2289772,15.94835854,16.12025833,15.93250275,16.42458534,16.39857674,15.67023182,16.07924843,15.87356758,15.90722656,15.74970341,16.96549225,16.22467422,16.9324379,16.79255676,16.51525116
131,15.44520473,15.45875168,14.92509365,14.91421509,15.60578918,15.24525642,15.43984318,15.351758,15.79263496,15.0819912,15.42998981,14.64262867,15.36521435,15.61650753,15.55380154,15.14832973,15.07244778,14.97366142,15.11266327,14.68269634,14.94865799,14.98736763,15.75407887,14.89050579,14.8346138,15.62987137,15.34619427,15.03433609,15.33503723,15.94592285,15.59188652,14.99291897,15.91280842,16.49529457,15.88440418,15.67230415,16.18904686,16.27673721,15.99801731,16.14707756,15.96821117,16.48072624,16.44976616,15.73625851,16.14362335,15.89907646,15.9189024,15.7688036,16.97063255,16.22468758,16.93719292,16.80648613,16.53548241
132,15.50718784,15.52183628,15.00193787,14.98245811,15.66173553,15.30713844,15.50847816,15.41213799,15.8541708,15.1476078,15.4927845,14.70420361,15.42428684,15.6655817,15.60045433,15.19654465,15.11581421,15.02034378,15.17427921,14.74341202,15.01035023,15.04122925,15.80021667,14.94466877,14.89356804,15.68392658,15.41395283,15.08422947,15.37697315,15.98927021,15.6425333,15.04711819,15.95306396,16.53769875,15.93626308,15.72274494,16.24100494,16.32978249,16.05217361,16.17690659,16.00737381,16.54270554,16.50673866,15.8079977,16.21317291,15.92782497,15.932724,15.79054546,16.97799301,16.22766876,16.94517326,16.82374954,16.55937004
133,15.5661211,15.58215904,15.07479191,15.04709435,15.71581841,15.36566353,15.5736742,15.46975517,15.9127388,15.21002293,15.55247116,14.76213646,15.48048306,15.71251774,15.64554787,15.24276543,15.15734673,15.06511021,15.23269176,14.80125237,15.06934166,15.09221363,15.84465599,14.99659348,14.95024395,15.73547077,15.47831345,15.13163757,15.41830349,16.03215218,15.69240856,15.10009098,15.99311256,16.58006477,15.98725891,15.77292824,16.29269791,16.38226318,16.10413933,16.20648384,16.0453167,16.60342407,16.56329727,15.87639332,16.27882767,15.95694351,15.94778252,15.81291103,16.98795509,16.23542404,16.95744514,16.84373856,16.58530045
134,15.61853313,15.6362915,15.13929176,15.10422516,15.76517582,15.41727066,15.63157082,15.52129078,15.96491146,15.26556873,15.60552692,14.81279182,15.53050327,15.75464916,15.68669605,15.28440857,15.19470692,15.10546112,15.28439522,14.85285282,15.12228012,15.13723564,15.88498688,15.04337692,15.00153255,15.78151989,15.53545856,15.17375469,15.45712662,16.07264709,15.73920059,15.14924431,16.03124046,16.62064171,16.03500366,15.82070732,16.34191895,16.43183517,16.15102577,16.23451042,16.08005714,16.65995407,16.61697769,15.93748283,16.33654404,15.98536873,15.96389008,15.83520031,17.00101089,16.24929428,16.97499084,16.86657715,16.61291695
135,15.66439152,15.68426228,15.19535732,15.15376949,15.80993843,15.46187115,15.68212032,15.56675148,16.0106678,15.31421566,15.65191555,14.8560257,15.57432175,15.79200077,15.72400475,15.32151699,15.22792721,15.14144039,15.32932854,14.89820004,15.16919231,15.17622471,15.92128754,15.0850687,15.04751396,15.82207394,15.58534336,15.21055126,15.49368191,16.1110363,15.78319454,15.19480705,16.06774712,16.65977859,16.07977104,15.86645699,16.38904953,16.47883797,16.19288826,16.26119232,16.11170578,16.71258736,16.66818428,15.99126148,16.38620186,16.01340675,15.98138428,15.85770607,17.01769066,16.27016258,16.9986515,16.89290047,16.64278984
136,15.70531464,15.72775173,15.24497509,15.19748497,15.85165405,15.50105,15.727108,15.60773277,16.05161858,15.35767937,15.6932745,14.89338684,15.61348438,15.82588005,15.75876713,15.35538673,15.25816822,15.17430592,15.36908054,14.93889141,15.21172237,15.21056557,15.95482063,15.12312412,15.08978939,15.8585577,15.62972927,15.24332428,15.52920818,16.14861298,15.825881,15.23833847,16.10385895,16.69878197,16.12308693,15.91171265,16.43567657,16.52485847,16.23118782,16.28742599,16.1413517,16.76311493,16.71863937,16.03962135,16.42956734,16.04198456,16.00081635,15.88116455,17.03847885,16.29859161,17.0290966,16.92351151,16.67585754
137,15.74328613,15.76879501,15.29059792,15.23754692,15.89215183,15.53677464,15.76872921,15.64617634,16.08973885,15.39806271,15.73161411,14.9268198,15.64988422,15.8578701,15.79250526,15.38757706,15.28683186,15.20556641,15.40561962,14.97687435,15.25185871,15.24197197,15.98708534,15.15929604,15.13027096,15.89270878,15.67078304,15.2736721,15.56510925,16.18683434,15.86895275,15.28163242,16.14093399,16.73909378,16.16667557,15.95818233,16.48355675,16.57167816,16.26767731,16.31421661,16.17027855,16.81359863,16.77026367,16.08486748,16.468853,16.07209396,16.02270508,15.90633965,17.06373405,16.33487892,17.06677437,16.95911026,16.71301651
138,15.78001308,15.80912018,15.33434296,15.2758379,15.93295288,15.57075596,15.80887413,15.68374157,16.12672043,15.43717003,15.76866341,14.95803261,15.68514442,15.88931751,15.82648945,15.41940689,15.31510544,15.23650074,15.44064426,15.01381874,15.2912941,15.2719326,16.01934242,15.1950655,15.17057037,15.92601204,15.71037006,15.30296803,15.60251045,16.22686195,15.91377068,15.32615376,16.1800499,16.78184319,16.21193504,16.00720978,16.53407478,16.62071991,16.30384064,16.34236336,16.19955063,16.8657074,16.82457924,16.12896919,16.50597763,16.10449409,16.04739761,15.93379974,17.09360123,16.37901497,17.1118145,17.000103,16.75486565
139,15.81667233,15.84989452,15.37769127,15.31367779,15.97503567,15.6041975,15.84885406,15.72155476,16.1637249,15.47624588,15.80561638,14.98825264,15.72038746,15.92112637,15.86153603,15.45175743,15.34378338,15.26795769,15.47534084,15.05086708,15.33116817,15.30149174,16.05241013,15.23142147,15.21174812,15.95947933,15.74978638,15.3321619,15.64206886,16.26935959,15.96113205,15.37279224,16.22179985,16.82763863,16.25968933,16.0595417,16.58799744,16.67279434,16.34065819,16.37231255,16.22984695,16.9204483,16.88244057,16.17327309,16.54230881,16.13955879,16.07496834,15.9637928,17.1279335,16.43058205,17.16391754,17.04647255,16.801548
140,15.85385418,15.89165115,15.42141342,15.35176373,16.01876068,15.63775063,15.88933086,15.76014996,16.20132828,15.51590919,15.84307384,15.01818562,15.75616646,15.95371151,15.89794636,15.48501396,15.3732214,15.30031013,15.51032925,15.08857632,15.3720026,15.33120632,16.08662033,15.26879597,15.25424385,15.99359703,15.78968716,15.36173534,15.68390179,16.31441689,16.0111866,15.42178631,16.26622581,16.87648773,16.31010437,16.11522675,16.64538002,16.72801208,16.37855721,16.40411758,16.26140022,16.97806549,16.94392967,16.21842384,16.57860184,16.17721748,16.10518265,15.99620056,17.16623497,16.48865891,17.22226143,17.09769821,16.85267067
141,15.89159012,15.9343214,15.46561146,15.39020634,16.06389236,15.67153835,15.93036079,15.7994976,16.23954201,15.55618572,15.88107395,15.0480442,15.79250526,15.98701572,15.93552399,15.51908684,15.40335274,15.33346653,15.54569244,15.12694263,15.41373062,15.36116982,16.12182617,15.30709076,15.29790211,16.02834892,15.83012676,15.39172363,15.72759628,16.36155891,16.06344795,15.47273445,16.31282043,16.92780495,16.36270332,16.17362976,16.70556259,16.78578758,16.41742134,16.43742943,16.29402351,17.03805923,17.00836182,16.2644062,16.6150322,16.21695328,16.13747406,16.03052902,17.20762062,16.5517807,17.28544807,17.15272141,16.90728569
